species_ID,Group,Order,Family,Genus,Species,subspecies,scientificName,variety,common_name,native_exotic,continent_of_origin,itis_tsn
43,Amphibians-Frogs,Anura,Bufonidae,Atelopus,zeteki,,Atelopus zeteki,,Panamanian Golden Frog,Exotic,South America,550266
44,Amphibians-Frogs,Anura,Bufonidae,Anaxyrus,americanus,NULL,Anaxyrus americanus,NULL,American Toad,Native,North America,773511
45,Amphibians-Frogs,Anura,Bufonidae,Rhaebo,blombergi,NULL,Rhaebo blombergi,NULL,Columbian Giant Toad,Exotic,South America,773675
46,Amphibians-Frogs,Anura,Bufonidae,Anaxyrus,boreas,halophilus,Anaxyrus boreas halophilus,NULL,Southern California Toad,Native,North America,776687
47,Amphibians-Frogs,Anura,Bufonidae,Bufo,bufo,,Bufo bufo,,European Toad,Exotic,Eurasia,173480
48,Amphibians-Frogs,Anura,Bufonidae,Rhinella,marina,NULL,Rhinella marina,NULL,Cane Toad,Native,North and South America,773729
49,Amphibians-Frogs,Anura,Dendrobatidae,Dendrobates,auratus,NULL,Dendrobates auratus,NULL,Green and Black Poison Dart Frog,Exotic,South America,173543
50,Amphibians-Frogs,Anura,Dendrobatidae,Dendrobates,leucomelas,NULL,Dendrobates leucomelas,NULL,Yellow-banded Poison Dart Frog,Exotic,South America,662249
51,Amphibians-Frogs,Anura,Dendrobatidae,Dendrobates,sp.,NULL,Dendrobates sp.,NULL,a Poison Dart Frog,Exotic,South America,173542
52,Amphibians-Frogs,Anura,Hylidae,Acris,crepitans,NULL,Acris crepitans,NULL,Northern Cricket Frog,Native,North America,173520
53,Amphibians-Frogs,Anura,Hylidae,Hyla,cinerea,NULL,Hyla cinerea,NULL,Green Treefrog,Native,North America,173505
54,Amphibians-Frogs,Anura,Hylidae,Hyla,wrightorum,NULL,Hyla wrightorum,NULL,Arizona Treefrog,Native,North America,207283
55,Amphibians-Frogs,Anura,Hylidae,Hyla,gratiosa,NULL,Hyla gratiosa,NULL,Barking Treefrog,Native,North America,173508
56,Amphibians-Frogs,Anura,Hylidae,Litoria,aurea,NULL,Litoria aurea,NULL,Green and Golden Bell Frog,Exotic,Australia,662862
57,Amphibians-Frogs,Anura,Hylidae,Osteopilus,septentrionalis,NULL,Osteopilus septentrionalis,NULL,Cuban Treefrog,Exotic,Caribbean,173538
